mbs coordinate
0,0,,

cbsd coordinate and channel
-970,900,2,
740,900,1,
980,-860,1,
-750,-850,5,
-750,1000,4,
1050,600,2,
760,-1135,3,
-870,-1100,1,
-1080,450,1,
970,530,3,
540,-1000,2,
-1200,-300,3,
-200,1170,7,
820,1255,4,
930,-1080,6,
-1115,-505,2,
-180,1230,3,
500,1150,8,
1200,-450,10,
-500,-1100,7,
-650,980,9,
1180,450,9,
700,-1160,7,
-1050,-900,8,
-1200,820,10,
1200,1000,11,
1340,-1120,12,
-1440,-1280,10,
-1160,1350,13,
1420,960,14,

building coordinate
-885,985,,
-1055,815,,
830,810,,
650,990,,
1060,-860,,
900,-860,,
-830,-770,,
-670,-930,,
-668,1070,,
-832,930,,
965,675,,
1135,525,,
832,-1059,,
688,-1211,,
-965,-1035,,
-775,-1165,,
-1135,365,,
-1025,535,,
907,591,,
1033,469,,
638,-906,,
442,-1094,,
-1275,-390,,
-1125,-210,,
-298,1123,,
-102,1217,,
910,1206,,
730,1304,,
1005,-1005,,
855,-1155,,
-1178,-407,,
-1052,-603,,
-120,1290,,
-240,1170,,
410,1240,,
590,1060,,
1275,-375,,
1125,-525,,
-577,-1023,,
-423,-1177,,
-600,1070,,
-710,890,,
1135,535,,
1225,365,,
743,-1077,,
657,-1243,,
-1138,-855,,
-962,-945,,
-1100,866,,
-1300,774,,
1300,900,,
1100,1100,,
1440,-1020,,
1240,-1220,,
-1340,-1380,,
-1540,-1180,,
-1060,1450,,
-1260,1250,,
1520,860,,
1320,1060,,

area numbers
341,285,303,271

x , y , block , block number
area 1
1553,1335,0,0
851,725,0,0
330,1825,0,0
69,552,0,0
1642,1447,0,0
388,463,1,0
1585,1976,0,0
99,485,1,0
1856,1007,0,0
809,1879,0,0
937,1931,0,0
1256,1787,1,0
1237,1742,0,0
745,1392,0,0
573,873,0,0
407,1716,0,0
474,597,0,0
1506,188,0,0
533,101,0,0
18,956,0,0
1810,256,0,0
468,1347,0,0
757,1742,0,0
1628,568,0,0
1186,611,0,0
629,806,1,0
1709,1053,0,0
407,745,0,0
1605,1186,0,0
973,1247,1,0
1382,891,0,0
355,916,0,0
1701,651,0,0
1376,49,0,0
148,1490,1,0
974,1714,0,0
1055,262,1,0
766,1147,0,0
1961,1819,0,0
108,1848,0,0
1539,614,0,0
1641,1354,0,0
1723,1668,0,0
915,1111,0,0
931,923,0,0
1460,1038,1,0
1412,1077,0,0
1589,1872,0,0
1217,427,0,0
1302,1035,0,0
427,236,0,0
893,1116,0,0
1711,1537,0,0
1428,699,0,0
1476,1320,0,0
724,999,0,0
994,914,0,0
597,1190,0,0
1995,383,0,0
1358,963,0,0
1477,1463,0,0
394,670,0,0
1737,1485,0,0
534,1648,0,0
544,795,0,0
448,1677,0,0
1725,1662,0,0
782,1112,0,0
1277,1030,0,0
1211,136,0,0
1336,1268,0,0
952,1076,0,0
947,1230,0,0
1355,210,1,0
746,1511,0,0
586,1274,0,0
1710,1199,0,0
662,442,0,0
856,481,0,0
30,1995,0,0
1140,979,0,0
491,1525,0,0
1048,1390,1,0
21,1144,1,0
1103,800,1,0
1901,561,1,0
918,258,0,0
1643,210,1,0
100,229,1,0
688,259,1,0
78,416,0,0
715,1804,0,0
1717,722,0,0
1884,1345,0,0
867,1670,1,0
1532,908,0,0
46,1771,0,0
303,864,0,0
1813,336,0,0
1474,4,0,0
659,201,0,0
1785,1636,1,0
1008,1187,0,0
1115,1571,0,0
117,681,0,0
1631,291,0,0
1834,429,0,0
1821,1244,0,0
209,419,1,0
1572,489,1,0
1843,1661,1,0
993,1143,1,0
1162,1141,0,0
1818,974,1,0
1227,1949,1,0
119,1348,1,0
198,1851,0,0
34,900,0,0
829,669,0,0
404,850,0,0
1887,1524,1,0
1682,828,1,0
1095,533,0,0
1285,1257,1,0
1853,72,1,0
1066,1549,0,0
553,390,0,0
1665,240,0,0
1059,1812,0,0
485,1230,0,0
1917,1440,1,0
807,1582,0,0
37,1539,1,0
1629,174,0,0
1026,1556,0,0
152,1114,0,0
495,1106,0,0
1415,1560,0,0
1721,1243,0,0
1463,669,1,0
1057,452,0,0
265,140,1,0
966,97,0,0
1142,1742,0,0
1994,1205,0,0
1770,648,0,0
1040,148,0,0
10,290,0,0
886,1342,0,0
751,565,0,0
1995,1576,1,0
847,424,0,0
875,1798,0,0
